Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii
OG0010486	EDO05289.2																				
OG0010487	EDO05292.1																				
OG0010488	EDO05293.2																				
OG0010489	EDO05296.1																				
OG0010490	KAG6440225.1																				
OG0010491	EDO05304.1																				
OG0010492	EDO05305.2																				
OG0010493	EDO05307.1																				
OG0010494	EDO05310.2																				
OG0010495	KAG6440189.1																				
OG0010496	EDO05313.1																				
OG0010497	EDO05314.1																				
OG0010498	EDO05320.1																				
OG0010499	EDO05323.2																				
OG0010500	EDO05324.1																				
OG0010501	EDO05325.1																				
OG0010502	EDO05326.1																				
OG0010503	EDO05328.1																				
OG0010504	EDO05330.1																				
OG0010505	EDO05331.1																				
OG0010506	EDO05334.1																				
OG0010507	EDO05344.1																				
OG0010508	EDO05345.1																				
OG0010509	KAG6440219.1																				
OG0010510	EDO05349.2																				
OG0010511	EDO05353.1																				
OG0010512	EDO05356.1																				
OG0010513	KAG6440194.1																				
OG0010514	EDO05359.1																				
OG0010515	EDO05363.1																				
OG0010516	EDO05364.2																				
OG0010517	EDO05365.1																				
OG0010518	EDO05366.1																				
OG0010519	EDO05368.1																				
OG0010520	EDO05369.1																				
OG0010521	EDO05370.2																				
OG0010522	KAG6440196.1																				
OG0010523	EDO05372.1																				
OG0010524	EDO05374.1																				
OG0010525	EDO05378.2																				
OG0010526	KAG6440221.1																				
OG0010527	EDO05385.1																				
OG0010528	EDO05393.2																				
OG0010529	EDO05394.1																				
OG0010530	EDO05402.1																				
OG0010531	EDO05404.1																				
OG0010532	EDO05409.1																				
OG0010533	EDO05411.1																				
OG0010534	EDO05415.1																				
OG0010535	KAG6440205.1																				
OG0010536	EDO05420.1																				
OG0010537	EDO05422.2																				
OG0010538	EDO05430.1																				
OG0010539	EDO05433.1																				
OG0010540	EDO05444.1																				
OG0010541	EDO05455.1																				
OG0010542	EDO05464.1																				
OG0010543	EDO05474.1																				
OG0010544	KAG6440207.1																				
OG0010545	EDO05481.2																				
OG0010546	EDO05490.1																				
OG0010547	EDO05493.1																				
OG0010548	EDO05495.1																				
OG0010549	EDO05497.2																				
OG0010550	KAG6440222.1																				
OG0010551	EDO05502.1																				
OG0010552	KAG6440188.1																				
OG0010553	EDO05506.1																				
OG0010554	EDO05513.2																				
OG0010555	EDO05514.2																				
OG0010556	EDO05517.2																				
OG0010557	EDO05522.1																				
OG0010558	EDO05535.2																				
OG0010559	EDO05536.1																				
OG0010560	EDO05537.2																				
OG0010561	EDO05540.2																				
OG0010562	KAG6440209.1																				
OG0010563	EDO05548.1																				
OG0010564	EDO05560.1																				
OG0010565	EDO05563.1																				
OG0010566	EDO05564.2																				
OG0010567	EDO05565.1																				
OG0010568	EDO05567.1																				
OG0010569	EDO05570.2																				
OG0010570	KAG6440186.1																				
OG0010571	KAG6440228.1																				
OG0010572	KAG6440226.1																				
OG0010573	KAG6440190.1																				
OG0010574	KAG6440229.1																				
OG0010575	KAG6440159.1																				
OG0010576	EDO05973.1																				
OG0010577	KAG6440166.1																				
OG0010578	EDO05974.1																				
OG0010579	EDO05976.2																				
OG0010580	EDO05977.2																				
OG0010581	EDO05979.1																				
OG0010582	KAG6440158.1																				
OG0010583	EDO05993.2																				
OG0010584	KAG6440179.1																				
OG0010585	KAG6440127.1																				
OG0010586	EDO06001.1																				
OG0010587	EDO06006.1																				
OG0010588	EDO06013.2																				
OG0010589	EDO06018.2																				
OG0010590	KAG6440117.1																				
OG0010591	EDO06030.1																				
OG0010592	KAG6440112.1																				
OG0010593	EDO06034.1																				
OG0010594	EDO06037.2																				
OG0010595	EDO06052.2																				
OG0010596	EDO06054.2																				
OG0010597	KAG6440170.1																				
OG0010598	EDO06056.2																				
OG0010599	EDO06059.1																				
OG0010600	EDO06083.2																				
OG0010601	EDO06088.2																				
OG0010602	EDO06090.1																				
OG0010603	KAG6440114.1																				
OG0010604	EDO06094.1																				
OG0010605	KAG6440132.1																				
OG0010606	EDO06108.1																				
OG0010607	EDO06114.2																				
OG0010608	EDO06115.2																				
OG0010609	EDO06116.1																				
OG0010610	KAG6440168.1																				
OG0010611	EDO06121.2																				
OG0010612	EDO06123.2																				
OG0010613	EDO06126.1																				
OG0010614	EDO06131.1																				
OG0010615	KAG6440108.1																				
OG0010616	EDO06133.1																				
OG0010617	KAG6440167.1																				
OG0010618	EDO06136.1																				
OG0010619	EDO06139.1																				
OG0010620	KAG6440150.1																				
OG0010621	EDO06160.1																				
OG0010622	EDO06162.1																				
OG0010623	EDO06166.2																				
OG0010624	EDO06169.1																				
OG0010625	EDO06194.1																				
OG0010626	EDO06196.1																				
OG0010627	EDO06200.1																				
OG0010628	EDO06205.2																				
OG0010629	EDO06207.1																				
OG0010630	EDO06208.1																				
OG0010631	EDO06219.1																				
OG0010632	KAG6440107.1																				
OG0010633	EDO06226.1																				
OG0010634	EDO06242.1																				
OG0010635	EDO06243.1																				
OG0010636	KAG6440125.1																				
OG0010637	EDO06267.2																				
OG0010638	KAG6440162.1																				
OG0010639	KAG6440130.1																				
OG0010640	KAG6440154.1																				
OG0010641	EDO06305.2																				
OG0010642	EDO06313.1																				
OG0010643	EDO06316.1																				
OG0010644	EDO06317.2																				
OG0010645	EDO06331.1																				
OG0010646	EDO06332.2																				
OG0010647	EDO06334.2																				
OG0010648	EDO06338.1																				
OG0010649	EDO06340.1																				
OG0010650	EDO06343.1																				
OG0010651	EDO06346.1																				
OG0010652	EDO06347.1																				
OG0010653	KAG6440156.1																				
OG0010654	EDO06353.1																				
OG0010655	KAG6440124.1																				
OG0010656	KAG6440147.1																				
OG0010657	KAG6440176.1																				
OG0010658	EDO06366.1																				
OG0010659	EDO06372.1																				
OG0010660	EDO06383.2																				
OG0010661	KAG6440123.1																				
OG0010662	EDO06386.1																				
OG0010663	EDO06392.2																				
OG0010664	KAG6440126.1																				
OG0010665	EDO06398.1																				
OG0010666	EDO06401.1																				
OG0010667	EDO06406.1																				
OG0010668	EDO06407.1																				
OG0010669	EDO06410.1																				
OG0010670	EDO06417.1																				
OG0010671	EDO06427.1																				
OG0010672	EDO06431.1																				
OG0010673	EDO06432.1																				
OG0010674	EDO06433.1																				
OG0010675	EDO06438.1																				
OG0010676	KAG6440136.1																				
OG0010677	KAG6440131.1																				
OG0010678	KAG6440137.1																				
OG0010679	EDO06457.1																				
OG0010680	KAG6440178.1																				
OG0010681	EDO06463.2																				
OG0010682	EDO06464.1																				
OG0010683	EDO06465.1																				
OG0010684	EDO06469.1																				
OG0010685	KAG6440109.1																				
OG0010686	EDO06472.1																				
OG0010687	EDO06480.2																				
OG0010688	KAG6440149.1																				
OG0010689	KAG6440181.1																				
OG0010690	EDO06488.2																				
OG0010691	EDO06489.1																				
OG0010692	EDO06495.2																				
OG0010693	EDO06496.1																				
OG0010694	EDO06497.1																				
OG0010695	EDO06498.1																				
OG0010696	EDO06507.2																				
OG0010697	KAG6440151.1																				
OG0010698	EDO06509.2																				
OG0010699	EDO06515.1																				
OG0010700	EDO06518.2																				
OG0010701	EDO06526.2																				
OG0010702	EDO06529.1																				
OG0010703	EDO06532.1																				
OG0010704	EDO06538.1																				
OG0010705	KAG6440111.1																				
OG0010706	EDO06552.1																				
OG0010707	EDO06555.1																				
OG0010708	KAG6440172.1																				
OG0010709	KAG6440177.1																				
OG0010710	EDO06562.1																				
OG0010711	EDO06564.2																				
OG0010712	KAG6440120.1																				
OG0010713	EDO06570.1																				
OG0010714	EDO06572.1																				
OG0010715	EDO06575.1																				
OG0010716	EDO06576.1																				
OG0010717	EDO06577.2																				
OG0010718	KAG6440169.1																				
OG0010719	EDO06579.1																				
OG0010720	EDO06587.1																				
OG0010721	EDO06591.2																				
OG0010722	KAG6440110.1																				
OG0010723	EDO06599.1																				
OG0010724	EDO06601.1																				
OG0010725	EDO06609.1																				
OG0010726	EDO06620.2																				
OG0010727	EDO06625.2																				
OG0010728	KAG6440164.1																				
OG0010729	EDO06655.1																				
OG0010730	EDO06663.2																				
OG0010731	EDO06671.2																				
OG0010732	EDO06674.1																				
OG0010733	EDO06679.2																				
OG0010734	EDO06680.1																				
OG0010735	EDO06683.2																				
OG0010736	KAG6440152.1																				
OG0010737	EDO06699.1																				
OG0010738	EDO06703.2																				
OG0010739	KAG6440121.1																				
OG0010740	EDO06706.1																				
OG0010741	EDO06708.2																				
OG0010742	EDO06715.1																				
OG0010743	EDO06716.1																				
OG0010744	EDO06719.1																				
OG0010745	EDO06720.2																				
OG0010746	EDO06723.1																				
OG0010747	EDO07580.2																				
OG0010748	EDO07582.1																				
OG0010749	EDO07588.1																				
OG0010750	EDO07591.1																				
OG0010751	EDO07596.1																				
OG0010752	KAG6440020.1																				
OG0010753	EDO07606.1																				
OG0010754	KAG6440034.1																				
OG0010755	KAG6440072.1																				
OG0010756	KAG6439990.1																				
OG0010757	EDO07621.1																				
OG0010758	EDO07632.1																				
OG0010759	EDO07639.2																				
OG0010760	EDO07646.2																				
OG0010761	EDO07650.2																				
OG0010762	EDO07651.1																				
OG0010763	EDO07653.2																				
OG0010764	EDO07656.1																				
OG0010765	EDO07657.1																				
OG0010766	EDO07659.1																				
OG0010767	KAG6440075.1																				
OG0010768	EDO07673.1																				
OG0010769	EDO07687.1																				
OG0010770	EDO07701.1																				
OG0010771	EDO07703.2																				
OG0010772	EDO07710.2																				
OG0010773	EDO07713.1																				
OG0010774	EDO07716.1																				
OG0010775	EDO07729.1																				
OG0010776	EDO07731.2																				
OG0010777	EDO07736.1																				
OG0010778	KAG6440088.1																				
OG0010779	EDO07740.1																				
OG0010780	EDO07743.1																				
OG0010781	KAG6440043.1																				
OG0010782	KAG6440090.1																				
OG0010783	EDO07747.2																				
OG0010784	KAG6440058.1																				
OG0010785	KAG6440029.1																				
OG0010786	KAG6440080.1																				
OG0010787	EDO07760.2																				
OG0010788	KAG6440067.1																				
OG0010789	KAG6440037.1																				
OG0010790	EDO07768.1																				
OG0010791	EDO07769.1																				
OG0010792	EDO07772.1																				
OG0010793	EDO07775.2																				
OG0010794	EDO07779.1																				
OG0010795	KAG6440046.1																				
OG0010796	EDO07787.1																				
OG0010797	EDO07796.1																				
OG0010798	KAG6440045.1																				
OG0010799	EDO07804.2																				
OG0010800	EDO07805.2																				
OG0010801	KAG6440065.1																				
OG0010802	EDO07822.1																				
OG0010803	EDO07823.1																				
OG0010804	EDO07829.1																				
OG0010805	EDO07831.2																				
OG0010806	EDO07830.1																				
OG0010807	EDO07833.1																				
OG0010808	EDO07835.2																				
OG0010809	EDO07838.1																				
OG0010810	EDO07839.1																				
OG0010811	EDO07840.1																				
OG0010812	KAG6440059.1																				
OG0010813	EDO07857.1																				
OG0010814	EDO07859.2																				
OG0010815	EDO07861.1																				
OG0010816	EDO07864.2																				
OG0010817	KAG6439991.1																				
OG0010818	EDO07879.2																				
OG0010819	EDO07883.1																				
OG0010820	EDO07884.2																				
OG0010821	EDO07886.2																				
OG0010822	EDO07887.2																				
OG0010823	EDO07889.2																				
OG0010824	KAG6440051.1																				
OG0010825	KAG6440048.1																				
OG0010826	EDO07893.1																				
OG0010827	EDO07894.2																				
OG0010828	KAG6440068.1																				
OG0010829	EDO07914.2																				
OG0010830	EDO07917.2																				
OG0010831	EDO07919.1																				
OG0010832	KAG6440087.1																				
OG0010833	EDO07929.1																				
OG0010834	EDO07933.2																				
OG0010835	EDO07935.1																				
OG0010836	KAG6440071.1																				
OG0010837	EDO07940.1																				
OG0010838	EDO07949.1																				
OG0010839	EDO07950.1																				
OG0010840	EDO07953.2																				
OG0010841	KAG6440010.1																				
OG0010842	EDO07962.1																				
OG0010843	EDO07964.1																				
OG0010844	EDO07969.2																				
OG0010845	EDO07971.1																				
OG0010846	EDO07978.1																				
OG0010847	KAG6440032.1																				
OG0010848	EDO07981.1																				
OG0010849	EDO07984.1																				
OG0010850	EDO07991.1																				
OG0010851	EDO07995.1																				
OG0010852	KAG6440066.1																				
OG0010853	EDO07996.2																				
OG0010854	EDO07999.1																				
OG0010855	KAG6440003.1																				
OG0010856	EDO08002.2																				
OG0010857	EDO08004.1																				
OG0010858	EDO08019.1																				
OG0010859	EDO08021.2																				
OG0010860	EDO08023.1																				
OG0010861	EDO08031.2																				
OG0010862	EDO08036.1																				
OG0010863	EDO08040.1																				
OG0010864	EDO08041.1																				
OG0010865	EDO08042.1																				
OG0010866	EDO08056.2																				
OG0010867	EDO08058.1																				
OG0010868	KAG6440044.1																				
OG0010869	EDO08065.2																				
OG0010870	EDO08066.1																				
OG0010871	EDO08078.1																				
OG0010872	EDO08094.1																				
OG0010873	EDO08096.1																				
OG0010874	KAG6440064.1																				
OG0010875	KAG6440057.1																				
OG0010876	KAG6439992.1																				
OG0010877	EDO08113.1																				
OG0010878	EDO08117.1																				
OG0010879	EDO08124.2																				
OG0010880	KAG6439993.1																				
OG0010881	EDO08147.1																				
OG0010882	EDO08158.1																				
OG0010883	EDO08164.1																				
OG0010884	KAG6440041.1																				
OG0010885	EDO08177.1																				
OG0010886	EDO08187.2																				
OG0010887	KAG6440054.1																				
OG0010888	EDO08202.1																				
OG0010889	EDO08220.1																				
OG0010890	EDO08226.2																				
OG0010891	EDO08228.2																				
OG0010892	EDO08232.1																				
OG0010893	EDO08234.1																				
OG0010894	EDO08240.1																				
OG0010895	KAG6440050.1																				
OG0010896	KAG6440097.1																				
OG0010897	KAG6440049.1																				
OG0010898	KAG6440053.1																				
OG0010899	EDO08246.2																				
OG0010900	EDO08249.2																				
OG0010901	EDO08264.1																				
OG0010902	KAG6440021.1																				
OG0010903	EDO08268.2																				
OG0010904	KAG6440016.1																				
OG0010905	EDO08276.1																				
OG0010906	KAG6440063.1																				
OG0010907	EDO08283.1																				
OG0010908	KAG6440073.1																				
OG0010909	KAG6440026.1																				
OG0010910	EDO08294.2																				
OG0010911	EDO08296.1																				
OG0010912	EDO08302.1																				
OG0010913	KAG6439996.1																				
OG0010914	KAG6440015.1																				
OG0010915	EDO08318.2																				
OG0010916	KAG6440031.1																				
OG0010917	KAG6440039.1																				
OG0010918	EDO08324.1																				
OG0010919	EDO08335.1																				
OG0010920	KAG6440094.1																				
OG0010921	EDO08351.1																				
OG0010922	EDO08356.1																				
OG0010923	EDO08364.2																				
OG0010924	KAG6440055.1																				
OG0010925	EDO08376.1																				
OG0010926	EDO08378.1																				
OG0010927	EDO08383.2																				
OG0010928	EDO08384.1																				
OG0010929	KAG6440074.1																				
OG0010930	EDO08412.2																				
OG0010931	EDO08417.2																				
OG0010932	EDO08430.1																				
OG0010933	EDO08432.1																				
OG0010934	EDO08435.1																				
OG0010935	KAG6440056.1																				
OG0010936	EDO08440.1																				
OG0010937	EDO08471.1																				
OG0010938	EDO08481.1																				
OG0010939	EDO08486.2																				
OG0010940	EDO08488.2																				
OG0010941	EDO08496.1																				
OG0010942	EDO08505.2																				
OG0010943	EDO08508.1																				
OG0010944	EDO08513.2																				
OG0010945	EDO08519.2																				
OG0010946	EDO08535.1																				
OG0010947	EDO08537.1																				
OG0010948	EDO08538.1																				
OG0010949	EDO08539.1																				
OG0010950	EDO08545.1																				
OG0010951	EDO08554.1																				
OG0010952	KAG6440047.1																				
OG0010953	EDO08570.1																				
OG0010954	EDO08577.2																				
OG0010955	KAG6440038.1																				
OG0010956	EDO08582.2																				
OG0010957	EDO08587.1																				
OG0010958	EDO08593.2																				
OG0010959	EDO08600.1																				
OG0010960	EDO08608.1																				
OG0010961	EDO08625.2																				
OG0010962	EDO08628.1																				
OG0010963	EDO08630.1																				
OG0010964	EDO08637.1																				
OG0010965	EDO08661.1																				
OG0010966	EDO08665.2																				
OG0010967	EDO08668.2																				
OG0010968	EDO08671.2																				
OG0010969	EDO08672.2																				
OG0010970	KAG6440052.1																				
OG0010971	EDO08676.1																				
OG0010972	EDO08678.2																				
OG0010973	KAG6440092.1																				
OG0010974	KAG6440085.1																				
OG0010975	EDO08696.1																				
OG0010976	KAG6440069.1																				
OG0010977	KAG6440005.1																				
OG0010978	KAG6440013.1																				
OG0010979	EDO08730.1																				
OG0010980	EDO08734.2																				
OG0010981	EDO08735.1																				
OG0010982	EDO08740.1																				
OG0010983	EDO08741.2																				
OG0010984	KAG6440081.1																				
OG0010985	EDO06736.2																				
OG0010986	EDO06753.2																				
OG0010987	KAG6439946.1																				
OG0010988	EDO06763.1																				
OG0010989	KAG6439945.1																				
OG0010990	KAG6439960.1																				
OG0010991	EDO06769.1																				
OG0010992	KAG6439951.1																				
OG0010993	EDO06774.2																				
OG0010994	EDO06779.2																				
OG0010995	KAG6439958.1																				
OG0010996	EDO06781.2																				
OG0010997	KAG6439987.1																				
OG0010998	KAG6439934.1																				
OG0010999	EDO06782.1																				
OG0011000	EDO06786.2																				
OG0011001	KAG6439939.1																				
OG0011002	EDO06792.1																				
OG0011003	EDO06797.2																				
OG0011004	EDO06799.2																				
OG0011005	EDO06806.1																				
OG0011006	EDO06813.1																				
OG0011007	KAG6439962.1																				
OG0011008	KAG6439957.1																				
OG0011009	EDO06828.1																				
OG0011010	EDO06835.1																				
OG0011011	EDO06842.1																				
OG0011012	EDO06846.1																				
OG0011013	EDO06849.1																				
OG0011014	EDO06856.1																				
OG0011015	EDO06873.1																				
OG0011016	KAG6439941.1																				
OG0011017	EDO06879.1																				
OG0011018	EDO06882.1																				
OG0011019	KAG6439968.1																				
OG0011020	EDO06891.1																				
OG0011021	EDO06899.1																				
OG0011022	EDO06900.1																				
OG0011023	EDO06904.2																				
OG0011024	EDO06920.2																				
OG0011025	EDO06927.1																				
OG0011026	EDO06936.1																				
OG0011027	EDO06941.1																				
OG0011028	EDO06948.1																				
OG0011029	EDO06956.1																				
OG0011030	EDO06958.2																				
OG0011031	EDO06961.2																				
OG0011032	EDO06962.1																				
OG0011033	KAG6439948.1																				
OG0011034	EDO06974.2																				
OG0011035	EDO06979.2																				
OG0011036	KAG6439981.1																				
OG0011037	KAG6439933.1																				
OG0011038	EDO06989.2																				
OG0011039	EDO07003.2																				
OG0011040	EDO07006.1																				
OG0011041	EDO07007.1																				
OG0011042	EDO07009.1																				
OG0011043	EDO07016.1																				
OG0011044	EDO07022.2																				
OG0011045	EDO07031.1																				
OG0011046	EDO07033.1																				
OG0011047	EDO07038.1																				
OG0011048	KAG6439943.1																				
OG0011049	EDO07043.2																				
OG0011050	KAG6439967.1																				
OG0011051	EDO07054.2																				
OG0011052	EDO07056.1																				
OG0011053	KAG6439972.1																				
OG0011054	EDO07073.1																				
OG0011055	KAG6439984.1																				
OG0011056	EDO07078.2																				
OG0011057	EDO07082.1																				
OG0011058	EDO07085.2																				
OG0011059	EDO07086.1																				
OG0011060	EDO07089.1																				
OG0011061	EDO07091.2																				
OG0011062	EDO07095.1																				
OG0011063	EDO07099.1																				
OG0011064	KAG6439938.1																				
OG0011065	KAG6439966.1																				
OG0011066	EDO07114.2																				
OG0011067	EDO07116.1																				
OG0011068	EDO07117.1																				
OG0011069	EDO07125.1																				
OG0011070	EDO07129.1																				
OG0011071	EDO07131.1																				
OG0011072	EDO07136.2																				
OG0011073	EDO07138.1																				
OG0011074	EDO07139.1																				
OG0011075	EDO07140.2																				
OG0011076	EDO07141.2																				
OG0011077	EDO07142.2																				
OG0011078	KAG6439952.1																				
OG0011079	EDO07148.1																				
OG0011080	KAG6439969.1																				
OG0011081	EDO07154.2																				
OG0011082	KAG6439944.1																				
OG0011083	EDO07162.2																				
OG0011084	KAG6439971.1																				
OG0011085	EDO07166.2																				
OG0011086	EDO07169.1																				
OG0011087	EDO07174.2																				
OG0011088	EDO07183.1																				
OG0011089	KAG6439935.1																				
OG0011090	EDO07193.1																				
OG0011091	KAG6439955.1																				
OG0011092	EDO07213.2																				
OG0011093	EDO07215.1																				
OG0011094	KAG6439932.1																				
OG0011095	KAG6439970.1																				
OG0011096	KAG6439931.1																				
OG0011097	EDO07217.2																				
OG0011098	KAG6439961.1																				
OG0011099	EDO07224.1																				
OG0011100	EDO07231.1																				
OG0011101	EDO07232.2																				
OG0011102	KAG6439950.1																				
OG0011103	KAG6439983.1																				
OG0011104	EDO07247.1																				
OG0011105	EDO07248.1																				
OG0011106	EDO07251.1																				
OG0011107	KAG6439973.1																				
OG0011108	EDO07255.1																				
OG0011109	KAG6439953.1																				
OG0011110	EDO07260.1																				
OG0011111	EDO07261.1																				
OG0011112	EDO07271.1																				
OG0011113	EDO07274.1																				
OG0011114	EDO07281.1																				
OG0011115	EDO07291.1																				
OG0011116	EDO07298.1																				
OG0011117	EDO07303.1																				
OG0011118	KAG6439956.1																				
OG0011119	EDO07316.1																				
OG0011120	EDO07324.2																				
OG0011121	KAG6439937.1																				
OG0011122	KAG6439977.1																				
OG0011123	EDO07329.2																				
OG0011124	EDO07337.2																				
OG0011125	EDO07347.2																				
OG0011126	EDO07350.2																				
OG0011127	EDO07353.1																				
OG0011128	EDO07354.1																				
OG0011129	KAG6439965.1																				
OG0011130	EDO07369.1																				
OG0011131	EDO07370.1																				
OG0011132	EDO07371.1																				
OG0011133	EDO07375.1																				
OG0011134	EDO07376.1																				
OG0011135	EDO07378.1																				
OG0011136	EDO07382.1																				
OG0011137	EDO07384.1																				
OG0011138	EDO07386.1																				
OG0011139	EDO07391.2																				
OG0011140	KAG6439980.1																				
OG0011141	KAG6439959.1																				
OG0011142	EDO07400.1																				
OG0011143	EDO07410.2																				
OG0011144	EDO07412.2																				
OG0011145	EDO07425.1																				
OG0011146	EDO07427.2																				
OG0011147	EDO07428.2																				
OG0011148	EDO07438.1																				
OG0011149	EDO07443.1																				
OG0011150	EDO07447.2																				
OG0011151	EDO07450.1																				
OG0011152	EDO07454.2																				
OG0011153	EDO07455.1																				
OG0011154	KAG6439940.1																				
OG0011155	EDO07460.2																				
OG0011156	EDO07461.2																				
OG0011157	KAG6439963.1																				
OG0011158	EDO07463.2																				
OG0011159	EDO07466.2																				
OG0011160	EDO07482.2																				
OG0011161	EDO07491.2																				
OG0011162	EDO07497.1																				
OG0011163	EDO07503.1																				
OG0011164	EDO07505.1																				
OG0011165	EDO07508.1																				
OG0011166	KAG6439974.1																				
OG0011167	EDO07513.1																				
OG0011168	EDO07514.1																				
OG0011169	EDO07519.1																				
OG0011170	EDO07520.1																				
OG0011171	EDO07522.2																				
OG0011172	EDO07526.2																				
OG0011173	EDO07530.1																				
OG0011174	EDO07532.1																				
OG0011175	EDO07533.2																				
OG0011176	EDO07536.1																				
OG0011177	EDO07538.2																				
OG0011178	EDO07542.1																				
OG0011179	EDO07544.1																				
OG0011180	EDO07546.1																				
OG0011181	EDO07547.2																				
OG0011182	EDO07549.1																				
OG0011183	EDO07550.2																				
OG0011184	EDO07553.1																				
OG0011185	EDO07557.1																				
OG0011186	EDO07565.1																				
OG0011187	EDO07567.2																				
OG0011188	EDO05607.1																				
OG0011189	KAG6439899.1																				
OG0011190	EDO05614.1																				
OG0011191	EDO05618.1																				
OG0011192	KAG6439889.1																				
OG0011193	KAG6439910.1																				
OG0011194	KAG6439892.1																				
OG0011195	EDO05628.1																				
OG0011196	KAG6439929.1																				
OG0011197	EDO05635.1																				
OG0011198	EDO05636.1																				
OG0011199	EDO05641.1																				
OG0011200	KAG6439908.1																				
OG0011201	KAG6439893.1																				
OG0011202	EDO05654.1																				
OG0011203	KAG6439917.1																				
OG0011204	KAG6439916.1																				
OG0011205	EDO05658.1																				
OG0011206	EDO05659.2																				
OG0011207	EDO05662.2																				
OG0011208	EDO05670.1																				
OG0011209	KAG6439927.1																				
OG0011210	EDO05671.1																				
OG0011211	EDO05675.1																				
OG0011212	EDO05676.1																				
OG0011213	EDO05681.1																				
OG0011214	EDO05682.2																				
OG0011215	EDO05687.1																				
OG0011216	EDO05697.2																				
OG0011217	KAG6439919.1																				
OG0011218	EDO05710.1																				
OG0011219	EDO05714.1																				
OG0011220	EDO05715.1																				
OG0011221	EDO05718.1																				
OG0011222	EDO05721.1																				
OG0011223	KAG6439907.1																				
OG0011224	EDO05725.2																				
OG0011225	KAG6439888.1																				
OG0011226	EDO05732.2																				
OG0011227	EDO05735.1																				
OG0011228	KAG6439905.1																				
OG0011229	KAG6439922.1																				
OG0011230	EDO05752.1																				
OG0011231	EDO05753.1																				
OG0011232	KAG6439894.1																				
OG0011233	EDO05758.1																				
OG0011234	EDO05762.2																				
OG0011235	EDO05763.1																				
OG0011236	KAG6439898.1																				
OG0011237	EDO05769.1																				
OG0011238	EDO05771.2																				
OG0011239	EDO05773.1																				
OG0011240	EDO05776.1																				
OG0011241	EDO05784.1																				
OG0011242	KAG6439918.1																				
OG0011243	EDO05786.1																				
OG0011244	EDO05789.2																				
OG0011245	KAG6439902.1																				
OG0011246	KAG6439909.1																				
OG0011247	KAG6439887.1																				
OG0011248	EDO05808.1																				
OG0011249	EDO05809.1																				
OG0011250	KAG6439903.1																				
OG0011251	EDO05813.1																				
OG0011252	EDO05816.2																				
OG0011253	EDO05822.2																				
OG0011254	EDO05824.1																				
OG0011255	EDO05825.1																				
OG0011256	EDO05836.1																				
OG0011257	EDO05845.1																				
OG0011258	EDO05857.1																				
OG0011259	EDO05858.1																				
OG0011260	EDO05867.1																				
OG0011261	KAG6439926.1																				
OG0011262	EDO05871.2																				
OG0011263	EDO05880.2																				
OG0011264	KAG6439895.1																				
